hour,day,month,trip_seconds,trip_miles,trip_total,_#NO_CLASS#_
0.750000,0.133333,0.636364,0.033877,0.280000,0.013591,-1
0.385417,0.033333,0.727273,0.041405,0.180000,0.016980,-1
0.833333,0.633333,0.090909,0.071518,0.360000,0.028725,-1
0.958333,0.966667,0.363636,0.169385,1.120000,0.050839,-1
0.604167,0.433333,0.090909,0.056462,0.240000,0.020638,-1
0.479167,0.933333,1.000000,0.048934,0.180000,0.014262,-1
0.916667,0.200000,0.181818,0.530740,0.720000,0.040201,-1
0.322917,0.500000,0.545455,0.086575,0.220000,0.017617,-1
0.895833,0.600000,0.727273,0.018821,0.140000,0.016275,-1
0.468750,0.900000,0.818182,0.063990,0.480000,0.027047,-1
0.187500,0.233333,0.454545,0.131744,1.440000,0.051846,-1
0.791667,0.100000,0.363636,0.041405,0.180000,0.012919,-1
0.864583,0.433333,0.909091,0.086575,0.540000,0.045436,-1
0.718750,0.166667,0.090909,0.139272,1.100000,0.048490,-1
0.541667,0.733333,0.000000,0.056462,0.180000,0.014262,-1
0.916667,0.300000,0.727273,0.011292,0.100000,0.014430,-1
0.895833,0.933333,0.818182,0.063990,0.360000,0.021812,-1
0.812500,0.333333,0.272727,0.018821,0.120000,0.008221,-1
0.843750,0.900000,0.636364,0.063990,0.420000,0.023658,-1
0.697917,0.033333,0.545455,0.101631,0.760000,0.030369,-1
0.583333,0.900000,0.090909,0.056462,0.200000,0.017617,-1
0.750000,0.600000,0.727273,0.063990,0.360000,0.024899,-1
0.364583,0.433333,0.000000,0.063990,0.320000,0.017617,-1
0.208333,0.633333,0.636364,0.071518,0.280000,0.023691,-1
0.406250,0.166667,0.454545,0.116688,0.380000,0.029027,-1
0.656250,0.733333,0.090909,0.048934,0.240000,0.014262,-1
0.354167,0.800000,0.818182,0.041405,0.200000,0.017617,-1
0.510417,0.433333,0.363636,0.214555,0.880000,0.047148,-1
0.802083,0.333333,0.272727,0.063990,0.340000,0.023322,-1
0.916667,0.733333,0.545455,0.086575,0.760000,0.036409,-1
0.885417,0.333333,0.272727,0.063990,0.740000,0.029698,-1
0.770833,0.766667,0.090909,0.094103,0.720000,0.029027,-1
0.968750,0.100000,0.454545,0.116688,1.120000,0.061946,-1
0.208333,0.700000,0.363636,0.139272,0.440000,0.030369,-1
0.250000,0.166667,0.636364,0.350063,2.120000,0.081711,-1
0.739583,0.200000,0.818182,0.033877,0.220000,0.012919,-1
0.864583,0.700000,0.000000,0.079046,0.740000,0.044430,-1
0.937500,0.000000,0.363636,0.086575,0.640000,0.028356,-1
0.416667,0.400000,0.000000,0.583438,3.880000,0.152517,-1
0.416667,0.600000,1.000000,0.086575,0.260000,0.026342,-1
0.354167,0.900000,0.000000,0.033877,0.180000,0.017953,-1
0.250000,0.766667,0.727273,0.063990,0.300000,0.020872,-1
0.864583,0.466667,0.818182,0.094103,1.380000,0.051174,-1
0.906250,0.766667,0.000000,0.101631,0.880000,0.040772,-1
0.666667,0.100000,0.727273,0.063990,0.440000,0.028423,-1
0.583333,0.100000,0.090909,0.109159,0.820000,0.035738,-1
0.583333,0.900000,0.000000,0.033877,0.080000,0.009564,-1
0.541667,1.000000,1.000000,0.079046,0.380000,0.020302,-1
0.750000,0.100000,0.454545,0.026349,0.160000,0.014597,-1
0.937500,1.000000,0.818182,0.033877,0.260000,0.016275,-1
