trip_seconds,trip_miles,cellId,label-gC,label-GT
0.037594,0.017,3,-1,-1
0.012531,0.006,4,-1,-1
0.032581,0.013,3,-1,-1
0.042607,0.023,6,-1,-1
0.037594,0.01,3,-1,-1
0.017544,0.005,4,-1,-1
0.062657,0.011,0,-1,-1
0.027569,0.009,3,-1,-1
0.022556,0.007,3,-1,-1
0.027569,0.015,3,-1,-1
0.027569,0.01,3,-1,-1
0.002506,0.003,4,-1,-1
0.032581,0.01,3,-1,-1
0.032581,0.011,3,-1,-1
0.027569,0.01,3,-1,-1
0.022556,0.01,3,-1,-1
0.172932,0.168,55,-1,-1
0.022556,0.007,3,-1,-1
0.338346,0.168,68,-1,-1
0.062657,0.032,5,-1,-1
0.047619,0.009,1,-1,-1
0.137845,0.122,69,-1,-1
0.112782,0.047,23,-1,-1
0.122807,0.06,28,-1,-1
0.192982,0.165,39,-1,-1
0.017544,0.007,4,-1,-1
0.037594,0.011,3,-1,-1
0.097744,0.015,9,-1,-1
0.057644,0.026,6,-1,-1
0.132832,0.172,7,-1,-1
0.042607,0.017,1,-1,-1
0.037594,0.019,3,-1,-1
0.017544,0.007,4,-1,-1
0.032581,0.008,3,-1,-1
0.052632,0.019,1,-1,-1
0.037594,0.015,3,-1,-1
0.027569,0.009,3,-1,-1
0.022556,0.006,3,-1,-1
0.017544,0.007,4,-1,-1
0.192982,0.062,70,-1,-1
0.037594,0.012,3,-1,-1
0.037594,0.024,49,-1,-1
0.017544,0.008,4,-1,-1
0.032581,0.008,3,-1,-1
0.027569,0.012,3,-1,-1
0.203008,0.264,71,-1,-1
0.027569,0.01,3,-1,-1
0.037594,0.016,3,-1,-1
0.042607,0.011,1,-1,-1
0.047619,0.023,6,-1,-1
0.067669,0.027,5,-1,-1
0.112782,0.047,23,-1,-1
0.022556,0.006,3,-1,-1
0.052632,0.017,1,-1,-1
0.042607,0.022,6,-1,-1
0.162907,0.179,55,-1,-1
0.022556,0.005,3,-1,-1
0.017544,0.006,4,-1,-1
0.027569,0.01,3,-1,-1
0.032581,0.009,3,-1,-1
0.027569,0.005,3,-1,-1
0.022556,0.011,3,-1,-1
0.062657,0.045,2,-1,-1
0.047619,0.042,13,-1,-1
0.022556,0.009,3,-1,-1
0.032581,0.009,3,-1,-1
0.022556,0.004,3,-1,-1
0.027569,0.014,3,-1,-1
0.057644,0.017,1,-1,-1
0.017544,0.008,4,-1,-1
0.037594,0.019,3,-1,-1
0.072682,0.017,0,-1,-1
0.017544,0.012,4,-1,-1
0.022556,0.008,3,-1,-1
0.032581,0.008,3,-1,-1
0.047619,0.012,1,-1,-1
0.032581,0.022,49,-1,-1
0.012531,0.008,4,-1,-1
0.017544,0.004,4,-1,-1
0.042607,0.019,1,-1,-1
0.042607,0.018,1,-1,-1
0.057644,0.012,1,-1,-1
0.037594,0.011,3,-1,-1
0.012531,0.008,4,-1,-1
0.052632,0.022,6,-1,-1
0.032581,0.011,3,-1,-1
0.037594,0.005,3,-1,-1
0.037594,0.018,3,-1,-1
0.037594,0.014,3,-1,-1
0.082707,0.099,12,-1,-1
0.072682,0.025,5,-1,-1
0.022556,0.014,3,-1,-1
0.017544,0.004,4,-1,-1
0.067669,0.026,5,-1,-1
0.022556,0.003,3,-1,-1
0.002506,0,4,-1,-1
0.057644,0.022,6,-1,-1
0.002506,0.001,4,-1,-1
0.047619,0.016,1,-1,-1
0.037594,0.011,3,-1,-1
0.037594,0.008,3,-1,-1
0.082707,0.088,12,-1,-1
0.042607,0.016,1,-1,-1
0.067669,0.022,5,-1,-1
0.037594,0.011,3,-1,-1
0.203008,0.171,56,-1,-1
0.027569,0.016,3,-1,-1
0.062657,0.013,0,-1,-1
0.032581,0.008,3,-1,-1
0.047619,0.015,1,-1,-1
0.002506,0.006,4,-1,-1
0.097744,0.04,32,-1,-1
0.067669,0.055,2,-1,-1
0.047619,0.011,1,-1,-1
0.027569,0.006,3,-1,-1
0.117794,0.103,19,-1,-1
0.012531,0.003,4,-1,-1
0.017544,0.005,4,-1,-1
0.037594,0.015,3,-1,-1
0.022556,0.009,3,-1,-1
