id,Label,Number_Points,trip_seconds,trip_miles
188,188,1,0.353383,0.310000
189,189,1,0.308271,0.288000
190,190,1,0.268170,0.272000
191,191,1,0.258145,0.296000
192,192,1,0.223058,0.181000
193,193,1,0.388471,0.461000
194,194,1,0.629073,0.348000
195,195,1,0.493734,0.506000
0,0,61,0.211718,0.172934
1,1,761,0.050708,0.026092
2,2,2784,0.029895,0.010822
3,3,153,0.088866,0.048850
4,4,1310,0.012749,0.005531
5,5,230,0.069805,0.048809
6,6,623,0.068989,0.027872
7,7,251,0.067549,0.014948
8,8,1250,0.047876,0.014213
9,9,217,0.088574,0.030488
10,10,104,0.089647,0.069337
11,11,57,0.109264,0.068807
12,12,37,0.250423,0.172459
13,13,10,0.172431,0.054400
14,14,1,0.218045,0.026000
15,15,65,0.112859,0.171831
16,16,96,0.131318,0.173604
17,17,27,0.150840,0.090704
18,18,221,0.051452,0.047376
19,19,44,0.129528,0.130023
20,20,18,0.130326,0.185389
21,21,42,0.110276,0.110024
22,22,232,0.033856,0.025435
23,23,1,0.288221,0.255000
24,24,46,0.231884,0.173261
25,25,45,0.108995,0.089222
26,26,8,0.269424,0.187750
27,27,130,0.071139,0.069600
28,28,27,0.073981,0.085333
29,29,55,0.190613,0.172236
30,30,15,0.213701,0.149133
31,31,93,0.150457,0.173957
32,32,52,0.111914,0.129135
33,33,11,0.169743,0.185727
34,34,22,0.168603,0.109455
35,35,25,0.127820,0.088920
36,36,4,0.270677,0.126500
37,37,13,0.149412,0.185000
38,38,1,0.388471,0.198000
39,39,18,0.129212,0.033889
40,40,81,0.108698,0.049963
41,41,7,0.229502,0.111857
42,42,1,0.258145,0.241000
43,43,10,0.094236,0.150600
44,44,77,0.170589,0.173519
45,45,2,0.223058,0.289000
46,46,1,0.213033,0.013000
47,47,30,0.169591,0.132233
48,48,28,0.271035,0.172357
49,49,34,0.149491,0.111971
50,50,16,0.229637,0.148625
51,51,43,0.091100,0.089558
52,52,28,0.129789,0.109036
53,53,24,0.191103,0.150292
54,54,4,0.338346,0.187500
55,55,19,0.208812,0.128526
56,56,71,0.109464,0.030056
57,57,4,0.248120,0.205500
58,58,31,0.111003,0.149387
59,59,14,0.232009,0.185214
60,60,2,0.348371,0.247500
61,61,4,0.205514,0.204000
62,62,26,0.288799,0.173615
63,63,20,0.055138,0.065300
64,64,6,0.352548,0.176667
65,65,5,0.367419,0.172200
66,66,16,0.309524,0.174875
67,67,23,0.150703,0.070522
68,68,16,0.036028,0.043938
69,69,8,0.171053,0.070000
70,70,4,0.135338,0.211500
71,71,1,0.152882,0.242000
72,72,11,0.108225,0.014273
73,73,6,0.190476,0.109500
74,74,27,0.150840,0.149741
75,75,21,0.169591,0.148190
76,76,38,0.130458,0.148158
77,77,15,0.091729,0.110133
78,78,2,0.330827,0.004500
79,79,2,0.305764,0.155500
80,80,38,0.129402,0.069605
81,81,4,0.208020,0.090750
82,82,1,0.303258,0.512000
83,83,44,0.128047,0.050000
84,84,3,0.249791,0.117333
85,85,8,0.210526,0.110625
86,86,4,0.192982,0.306250
87,87,11,0.112326,0.184364
88,88,1,0.228070,0.270000
89,89,1,0.639098,0.757000
90,90,12,0.208020,0.188583
91,91,16,0.190476,0.185062
92,92,48,0.087928,0.014250
93,93,18,0.148705,0.048833
94,94,11,0.272727,0.148545
95,95,2,0.353383,0.153500
96,96,12,0.169173,0.089750
97,97,41,0.149826,0.130561
98,98,5,0.071679,0.110000
99,99,4,0.127820,0.005250
100,100,8,0.097118,0.169375
101,101,1,0.238095,0.000000
102,102,8,0.146617,0.029000
103,103,4,0.190476,0.285750
104,104,1,0.378446,0.432000
105,105,1,0.283208,0.000000
106,106,3,0.187970,0.000333
107,107,4,0.313283,0.185750
108,108,1,0.393484,0.357000
109,109,11,0.228982,0.129636
110,110,3,0.191312,0.269000
111,111,12,0.332916,0.172750
112,112,3,0.291562,0.143667
113,113,3,0.187970,0.096667
114,114,2,0.057644,0.080000
115,115,4,0.365915,0.186750
116,116,3,0.171261,0.008667
117,117,2,0.333333,0.153000
118,118,2,0.416040,0.083500
119,119,7,0.247404,0.185714
120,120,1,0.228070,0.443000
121,121,2,0.155388,0.267000
122,122,1,0.197995,0.244000
123,123,1,0.368421,0.341000
124,124,4,0.244361,0.131250
125,125,8,0.093985,0.126000
126,126,2,0.265664,0.111500
127,127,1,0.172932,0.223000
128,128,1,0.273183,0.268000
129,129,14,0.189760,0.130000
130,130,5,0.250125,0.151000
131,131,1,0.313283,0.212000
